Cod_setor,Situacao_setor,V062,V063,V064,V065,V066,V067,V068,V069,V070,V071,V072,V073,V074,V075,V076,V077,V078,V079,V080,V081,V082,V083,V084,V085,V086,V087,V088,V089,V090,V091,V092,V093,V094,V095,V096,V097,V098,V099,homens,mulheres
250110405000015,8,4,8,7,5,4,3,3,2,0,0,0,0,0,2,7,1,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,46,4
250110405000016,8,8,9,10,7,3,7,5,0,0,0,0,0,0,8,1,2,1,0,0,2,0,0,2,0,0,1,0,0,0,1,0,0,2,0,0,1,0,0,61,9
250110405000017,8,4,4,3,5,3,10,3,0,0,0,0,0,0,4,1,0,0,0,0,1,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,37,6
250110405000018,8,4,5,3,4,3,5,3,0,0,0,0,0,0,4,1,2,0,0,0,0,3,0,1,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,34,8
250110405000019,8,8,16,27,19,6,11,6,1,0,1,0,0,0,7,8,2,2,0,0,3,2,0,5,0,1,0,2,0,0,0,0,0,1,1,0,0,0,0,114,15
250110405000020,8,9,25,31,15,9,14,1,1,1,0,0,0,0,8,14,5,2,0,0,4,1,0,0,2,2,1,3,1,0,0,1,0,1,0,0,0,0,0,135,16
250110405000021,8,8,11,13,3,5,1,12,1,0,0,0,0,0,7,6,3,2,0,0,4,3,9,2,2,1,0,2,2,3,0,0,0,2,0,0,0,0,0,72,30
250110405000022,1,3,1,3,3,0,1,2,0,0,0,0,0,0,3,1,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,18,5
250110405000023,1,16,38,19,11,6,1,7,1,2,0,0,0,0,15,19,4,1,0,0,25,13,15,13,1,6,9,16,3,3,0,0,0,9,2,0,1,0,0,140,116
250110405000024,1,20,13,18,21,5,2,6,1,0,0,0,0,0,19,6,3,0,1,0,16,14,10,3,2,2,11,4,0,0,0,0,0,12,1,1,0,0,0,115,76
250110405000025,1,5,7,7,5,3,3,8,2,0,0,0,0,0,3,5,0,1,0,0,11,12,16,10,10,4,3,8,2,2,1,1,0,3,4,0,0,1,0,49,88
250110405000026,1,17,23,35,15,11,4,7,1,0,0,0,0,0,16,10,10,3,2,0,8,13,10,6,2,3,3,3,6,0,1,0,0,5,2,2,0,0,0,154,64
250110405000027,1,25,33,46,15,8,10,12,2,1,0,0,0,0,23,15,8,2,1,0,22,25,12,9,3,6,17,16,7,4,0,0,0,6,4,1,1,0,0,201,133
250110405000028,1,18,38,37,10,10,8,13,1,1,1,0,0,0,17,18,7,3,1,0,30,23,16,13,4,4,10,25,6,3,2,0,0,5,6,1,2,0,0,183,150
250110405000029,1,16,20,18,11,10,8,4,0,1,0,0,0,0,16,9,3,0,1,0,12,14,7,10,6,7,11,9,6,0,2,0,0,3,0,0,0,0,0,117,87
250110405000030,1,16,28,21,14,7,9,5,0,0,0,0,0,0,16,13,5,2,0,0,22,24,14,11,6,6,14,17,12,3,0,0,0,5,1,1,1,0,1,136,138
250110405000031,1,25,19,20,18,9,8,5,1,0,0,0,0,0,24,9,8,3,1,0,15,12,18,12,4,12,8,12,4,0,0,0,0,3,0,1,0,0,0,150,101
250110410000001,1,19,31,16,26,4,6,11,2,0,0,0,0,0,17,16,3,1,0,0,19,17,15,3,6,6,3,13,8,3,1,0,0,6,0,0,0,0,0,152,100
250110410000002,8,14,19,21,13,13,5,7,0,0,0,0,0,0,14,9,6,0,0,0,7,9,8,8,0,4,5,5,2,3,2,0,0,2,0,1,0,0,0,121,56
250110410000003,8,2,5,4,5,3,0,3,0,1,0,0,0,0,2,2,1,0,0,0,3,2,2,0,1,2,1,3,1,1,0,0,0,0,0,0,0,0,0,28,16
250110410000004,8,14,13,18,17,8,25,8,3,0,0,0,0,0,11,6,3,1,1,0,4,6,5,2,3,5,2,4,3,2,2,0,0,0,0,0,0,0,0,128,38
250110410000005,8,6,14,11,7,7,7,4,0,0,0,0,0,0,6,6,3,0,0,0,4,3,6,4,2,3,2,2,3,2,0,0,0,2,0,0,0,0,0,71,33
250110415000001,1,34,49,36,25,14,6,8,2,0,0,0,0,0,32,22,8,5,1,1,23,28,16,10,9,8,13,12,10,1,0,0,1,11,4,0,0,0,0,243,146
250110415000002,8,22,41,34,20,15,16,13,1,1,0,0,0,0,21,17,7,1,1,1,12,8,6,4,1,3,8,9,5,1,0,0,0,3,0,0,0,0,0,211,60
250110415000003,8,11,12,19,14,8,16,3,2,1,0,0,0,1,9,7,3,2,1,0,1,3,7,2,0,2,1,1,2,2,0,0,0,0,0,0,0,0,0,109,21
250110415000004,8,3,6,3,1,1,3,2,1,0,0,0,0,0,2,1,0,0,0,0,4,3,5,3,2,0,1,3,1,3,0,0,0,1,1,0,0,0,0,23,27
250110415000005,8,2,5,5,3,0,1,1,0,0,0,0,0,0,2,3,1,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,23,9
250110420000001,1,8,10,12,9,4,4,1,1,0,0,0,0,0,7,4,0,0,0,0,5,4,6,3,2,1,4,3,1,3,0,0,0,2,0,0,0,0,0,60,34
